name,url,tier,region,description,why
New York Times,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,national,us,Major nonprofit newspaper covering national and international news with investigative reporting,Largest circulation US newspaper; shapes mainstream narrative across political spectrum
ABC Australia,https://www.abc.net.au/news/feed/51120/rss.xml,international,australia,Australian public broadcaster providing news coverage,Australian state media perspective; represents coverage from Global South
African Arguments,https://africanarguments.org/feed/,international,africa,Research organization publishing analysis and reporting on African affairs,Specialist coverage of Africa; represents African perspectives on continental issues
Americas Quarterly,https://www.americasquarterly.org/feed/,international,latam,Publication covering politics and economics of Latin America,Specialist coverage of Latin America; essential for Americas regional perspective
The Diplomat,https://thediplomat.com/feed/,international,asia,Publication covering Asia-Pacific politics and diplomacy,Specialist coverage of Asia-Pacific; represents regional perspective on geopolitics
Foreign Policy,https://foreignpolicy.com/feed/,international,global,Magazine covering international relations and global affairs,Leading publication on international relations; shapes US foreign policy thinking
MIT Technology Review,https://www.technologyreview.com/feed/,specialist,ai,Magazine covering artificial intelligence and technology developments,Specialist coverage of AI and emerging technology; influential with technologists and researchers
The Markup,https://themarkup.org/feeds/rss.xml,specialist,information,Nonprofit newsroom covering technology accountability and data privacy,Specialist investigative journalism on digital technology and privacy issues
EPI Blog,https://www.epi.org/blog/feed/,specialist,labor,Economic Policy Institute blog covering labor and economic policy,Left-leaning economic analysis; represents labor and progressive economic perspective
American Prospect,https://prospect.org/feed/,specialist,labor,Progressive magazine covering politics and policy,Progressive opinion and analysis; represents left-of-center political perspective
Columbia Journalism Review,https://www.cjr.org/feed,specialist,information,Publication covering media criticism and journalism trends,Expert analysis of journalism industry and media trends
Nieman Lab,https://www.niemanlab.org/feed/,specialist,information,Harvard lab covering future of journalism and media,Expert analysis of journalism innovation and media transformation
Lawfare,https://news.google.com/rss/search?q=when:7d+site:lawfaremedia.org&hl=en-US,specialist,governance,Publication covering law, policy, and national security,Legal and policy expertise on national security and constitutional issues
ProPublica,https://feeds.propublica.org/propublica/main,specialist,governance,Nonprofit newsroom producing investigative journalism on government and accountability,Leading investigative journalism organization; holds government and institutions accountable
Carbon Brief,https://www.carbonbrief.org/feed,specialist,climate,Publication providing accurate information on climate science and policy,Specialist climate coverage; makes climate science accessible to general audience
Grist,https://grist.org/feed/,specialist,climate,Nonprofit newsroom covering climate change and environmental issues,Environmental nonprofit reporting; covers intersection of climate and justice
Naked Capitalism,https://www.nakedcapitalism.com/feed,specialist,economics,Independent blog covering finance, economics, and markets,Heterodox economic analysis; represents alternative perspective on markets and finance
OnLabor,https://onlabor.org/feed/,specialist,labor,Academic and activist platform covering labor issues and organizing,Specialist labor coverage; represents worker and labor movement perspective
The Conversation US,https://theconversation.com/us/articles.atom,explainer,us,Academics writing explanation of news topics and research for general audience,Accessible academic expertise; helps general audience understand complex topics
Vox,https://www.vox.com/rss/index.xml,explainer,us,Publication explaining news and policy issues for general audience,Popular explainer outlet reaching younger audiences; makes complex policy accessible
Pew Research Center,https://www.pewresearch.org/feed/,explainer,us,Research organization conducting public opinion polling and social research,Authoritative source on polling and social trends; shapes understanding of public opinion
404 Media,https://www.404media.co/rss/,explainer,us,Journalist-run publication covering internet culture and technology,Independent technology journalism; covers emerging internet culture and digital issues
Rest of World,https://restofworld.org/feed/,explainer,global,Publication covering how global people use technology,Specialist coverage of technology use outside wealthy nations; represents Global South perspective
The Verge,https://www.theverge.com/rss/index.xml,explainer,us,Technology news outlet covering gadgets, internet culture, and tech policy,Popular technology news source; covers intersection of tech and culture
Wired,https://www.wired.com/feed/rss,explainer,us,Magazine covering technology, business, and culture,Influential technology magazine; shapes tech culture and covers emerging trends
Ars Technica,https://feeds.arstechnica.com/arstechnica/index,explainer,us,Technology publication covering science, technology, and internet culture,Detailed technology reporting for knowledgeable audience; covers emerging technology trends
Platformer,https://www.platformer.news/rss/,explainer,us,Newsletter covering social media platforms and internet governance,Specialist coverage of major tech platforms and internet policy
The 19th News,https://19thnews.org/feed/,community,us,Nonprofit newsroom covering women and gender in politics and policy,Specialist coverage of women in politics; represents feminist perspective on news
The Marshall Project,https://news.google.com/rss/search?q=when:7d+site:themarshallproject.org&hl=en-US,community,us,Nonprofit newsroom covering the criminal justice system,Specialist criminal justice coverage; represents perspective on incarceration and police accountability
CalMatters,https://calmatters.org/feed/,community,us,Nonprofit newsroom covering California state government and policy,California-focused reporting; represents state-level accountability journalism
Stateline,https://stateline.org/feed/,community,us,Nonprofit covering state government and policy trends across United States,National state policy coverage; provides perspective on state-level governance
High Country News,https://www.hcn.org/feed/,community,us,Regional newsroom covering the American West,Western region specialist; represents perspective on rural and public lands issues
Civil Eats,https://civileats.com/feed/,community,us,Publication covering food policy, agriculture, and food systems,Specialist food and agriculture coverage; represents sustainable food systems perspective
Documented,https://documentedny.com/feed/,community,us,Nonprofit newsroom covering immigrant communities in New York City,Specialist immigrant reporting; represents undocumented immigrant perspective
The Root,https://www.theroot.com/rss,community,us,Publication covering African American culture, politics, and news,Publication serving African American audience; represents Black perspective on news
Latino USA,https://www.latinousa.org/feed/,community,us,Public radio show covering Latino communities and issues,Latino-focused reporting; represents Latino community perspective
Indian Country Today,https://indiancountrytoday.com/feed,community,us,Nonprofit newsroom covering Native American communities and Indian Country,Essential Native news outlet; represents Indigenous perspective on news
Hechinger Report,https://hechingerreport.org/feed/,community,us,Nonprofit newsroom covering education policy and K-12 schools,Specialist education coverage; focuses on accountability and equity in schools
Christianity Today,https://www.christianitytoday.com/feed/,community,us,Magazine covering evangelical Christianity, faith, and culture,Major evangelical Christian publication; represents religious conservative perspective
Religion News Service,https://religionnews.com/feed/,community,us,Nonprofit newsroom covering religion and faith communities,Religion specialist journalism; represents diverse faith perspectives
Texas Tribune,https://www.texastribune.org/feed/,community,us,Nonprofit newsroom covering Texas government and policy,Texas-focused reporting; represents state-level accountability journalism
RAND,https://www.rand.org/blog.xml,analysis,us,Research and policy institute conducting analysis on defense and social policy,Think tank with strong defense and security expertise
Roosevelt Institute,https://rooseveltinstitute.org/feed/,analysis,us,Progressive think tank conducting economic policy research,Progressive economic research and analysis
Carnegie Endowment,https://news.google.com/rss/search?q=when:7d+site:carnegieendowment.org&hl=en-US,analysis,us,International research institution publishing analysis on global affairs and policy,International affairs expertise; represents establishment foreign policy perspective
Foreign Affairs,https://www.foreignaffairs.com/rss.xml,analysis,us,Magazine publishing expert analysis on international relations and foreign policy,Premier foreign policy journal; shapes US global strategy thinking
Center for American Progress,https://news.google.com/rss/search?q=when:7d+site:americanprogress.org&hl=en-US,analysis,us,Progressive think tank conducting policy research and analysis,Progressive policy research and analysis
Chatham House,https://news.google.com/rss/search?q=when:7d+site:chathamhouse.org&hl=en-US,analysis,uk,International affairs research institute based in United Kingdom,British international affairs expertise; represents UK perspective on global issues
Heritage Foundation,https://news.google.com/rss/search?q=when:7d+site:heritage.org&hl=en-US,analysis,us,Conservative think tank conducting policy research and analysis,Conservative policy research; represents right-of-center policy perspective
Brookings,https://news.google.com/rss/search?q=when:7d+site:brookings.edu&hl=en-US,analysis,us,Research institute publishing analysis on domestic and international policy,Leading centrist think tank; major influence on policy and public opinion
Times of India,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,international,india,Major Indian newspaper covering national and international news,Largest circulation Indian newspaper; represents Indian mainstream perspective
Straits Times,https://www.straitstimes.com/news/world/rss.xml,international,singapore,Singapore newspaper covering Asia-Pacific and global news,Major Southeast Asian newspaper; represents regional perspective
The Advocate,https://www.advocate.com/feed,community,us,Magazine covering LGBTQ news and culture,LGBTQ-focused publication; represents LGBTQ community perspective
Jewish Telegraphic Agency,https://www.jta.org/feed,community,us,News organization covering Jewish communities and Israel-related issues,Jewish community news; represents Jewish perspective on news
Arab American News,https://www.arabamericannews.com/feed/,community,us,Newspaper serving Arab American communities in Michigan and nationally,Arab American perspective; represents Middle Eastern American communities
Disability Scoop,https://www.disabilityscoop.com/feed/,community,us,News organization covering disability policy and disability community issues,Disability community journalism; represents disability rights perspective
Military Times,https://www.militarytimes.com/arc/outboundfeeds/rss/?outputType=xml,community,us,Newspaper serving military and veteran communities,Military and veteran community perspective; covers defense policy and military issues
Daily Yonder,https://dailyyonder.com/feed/,community,us,Publication covering rural America and small-town communities,Rural America specialist; represents rural and small-town perspective
Scalawag,https://scalawagmagazine.org/feed/,community,us,Magazine covering the American South and Southern issues,Southern regional specialist; represents Southern perspective on news
Honolulu Civil Beat,https://www.civilbeat.org/feed/,community,us,Nonprofit newsroom covering Hawaii and Pacific issues,Hawaii and Pacific regional coverage
Teen Vogue,https://www.teenvogue.com/feed/rss,community,us,Publication covering politics and culture for young adults,Youth and young adult perspective; reaches Gen Z audience
AsAmNews,https://asamnews.com/feed/,community,us,News organization covering Asian American communities and issues,Asian American community journalism; represents Asian American perspective
The Forward,https://forward.com/feed/,community,us,Jewish American newspaper covering culture, politics, and community,Jewish American perspective; covers Jewish community and Jewish American issues
National Catholic Reporter,https://www.ncronline.org/rss.xml,community,us,Independent Catholic news organization covering church and faith issues,Catholic perspective; represents independent Catholic journalism
The Imprint,https://imprintnews.org/feed,community,us,Nonprofit newsroom covering child welfare and youth issues,Specialist child welfare coverage; represents children and youth perspective
Mississippi Free Press,https://www.mississippifreepress.org/feed,community,us,Nonprofit newsroom covering Mississippi government and communities,State-focused reporting; provides accountability journalism for Mississippi
Bolts Magazine,https://boltsmag.org/feed/,community,us,Publication covering Black workers and labor issues,Black labor perspective; covers intersection of race and labor
Capital B News,https://capitalbnews.org/feed/,community,us,Nonprofit covering Black entrepreneurs and business communities,Black business and economic perspective
Canopy Forum,https://canopyforum.org/feed/,community,us,Community journalism platform covering local issues and solutions,Community-focused journalism; represents local perspective
The Trace,https://www.thetrace.org/feed/,community,us,Nonprofit newsroom covering gun violence and gun policy,Gun violence specialist journalism; represents public health perspective on guns
Prism,https://prismreports.org/feed/,community,us,Nonprofit newsroom covering how government policies affect communities of color,Racial justice coverage; represents communities of color perspective
Borderland Beat,https://www.borderlandbeat.com/feeds/posts/default?alt=rss,community,us,Blog covering Mexico-US border issues and drug trade,Border coverage specialist; provides perspective on border region
The Plug,https://tpinsights.com/feed/,community,us,Publication covering Black venture capital and entrepreneurship,Black venture capital perspective; covers race and entrepreneurship
Inside Climate News,https://insideclimatenews.org/feed/,specialist,climate,Nonprofit newsroom covering climate change and clean energy,Pulitzer-winning climate journalism; represents climate action perspective
War on the Rocks,https://warontherocks.com/feed/,specialist,security,Publication covering military affairs and national security,Defense and security expertise; represents military strategy perspective
Just Security,https://www.justsecurity.org/feed/,specialist,governance,Law and security experts providing analysis on national security and justice issues,Legal expertise on security issues; represents civil liberties and constitutional perspective
Inequality.org,https://inequality.org/feed/,specialist,economics,Institute for Policy Studies publication covering wealth inequality and economic justice,Economic inequality specialist; represents progressive economic justice perspective
The Intercept,https://theintercept.com/feed/?rss,specialist,governance,Nonprofit newsroom covering national security and government surveillance,Surveillance and secrecy specialist; represents transparency and civil liberties perspective
Protocol Africa,https://news.google.com/rss/search?q=when:7d+site:africanews.com&hl=en-US,international,africa,Technology and business publication covering African innovation,African technology and business specialist; represents African perspective on tech
Rappler,https://www.rappler.com/feed/,international,philippines,Philippine news organization covering Southeast Asia and Asia-Pacific,Southeast Asian journalist outlet; represents regional perspective
Meduza,https://meduza.io/rss/en/all,international,russia,Russian-founded independent news outlet covering Russian and global events,Independent Russian journalism; represents perspective from Russian exile community
El Diario NY,https://eldiariony.com/feed/,community,us,Spanish-language and English-language newspaper covering Latino communities in New York,Bilingual Latino coverage; represents New York Latino perspective
Latino Rebels,https://www.latinorebels.com/feed/,community,us,Publication covering Latino politics, culture, and social issues,Latino cultural and political perspective; covers Latino-focused reporting
Remezcla,https://remezcla.com/feed/,community,us,Digital publication covering Latino culture, music, and lifestyle,Latino culture and entertainment specialist; represents Latino millennial perspective
Texas Observer,https://www.texasobserver.org/feed/,community,us,Independent magazine covering Texas politics and border issues,Texas and border region coverage; represents progressive Texas journalism
NBC News Latino,https://news.google.com/rss/search?q=when:7d+site:nbcnews.com+latino&hl=en-US,community,us,NBC News coverage of Latino and Hispanic communities and issues,Major broadcast coverage of Latino communities; reaches broad Latino audience
NextShark,https://nextshark.com/feed,community,us,Digital publication covering Asian American news and culture,Asian American news and culture specialist; represents Asian American millennial perspective
Brown Girl Magazine,https://news.google.com/rss/search?q=when:7d+site:browngirlmagazine.com&hl=en-US,community,us,Publication covering South Asian women and diaspora culture,South Asian diaspora perspective; represents South Asian women's voice
The Grio,https://thegrio.com/feed/,community,us,NBC News and MSNBC platform covering Black news and culture,Major broadcast coverage of Black communities; represents Black cultural perspective
Atlanta Black Star,https://atlantablackstar.com/feed/,community,us,Digital publication covering Black news and culture,Black news and culture specialist; provides Black community perspective
Blavity,https://blavity.com/feed,community,us,Digital media company covering Black entertainment and culture,Black entertainment and lifestyle specialist; represents Black millennial perspective
KFF Health News,https://kffhealthnews.org/feed/,specialist,health,Independent nonprofit newsroom covering health policy and healthcare reporting,Leading health policy journalism; covers intersection of health and policy
STAT News,https://www.statnews.com/feed/,specialist,health,Publication covering biotech, pharma, and life sciences news,Biotech and healthcare specialist; covers emerging health and science developments
Science News,https://www.sciencenews.org/feed,specialist,health,Magazine covering science and research developments,Science journalism for general audience; makes scientific research accessible
Next Avenue,https://www.nextavenue.org/feed/,community,us,PBS publication covering aging, retirement, and older adults,Senior and aging specialist; represents older adult perspective
AARP,https://news.google.com/rss/search?q=when:7d+site:aarp.org&hl=en-US,community,us,Magazine and news platform covering aging and senior issues,Major senior advocacy organization; represents older adult interests and perspective
Task and Purpose,https://taskandpurpose.com/feed/,community,us,Digital publication covering military and veteran issues,Military and veteran coverage; represents veteran community perspective
Stars and Stripes,https://www.stripes.com/rss,community,us,Department of Defense newspaper serving military and veteran communities,Official military publication; represents military service member perspective
Labor Notes,https://labornotes.org/feed,specialist,labor,Magazine and website covering labor organizing and union issues,Labor movement specialist; represents worker organizing perspective
Payday Report,https://paydayreport.com/feed/,specialist,labor,Independent news outlet covering labor and workers rights,Labor rights journalism; covers worker struggles and organizing
In These Times,https://inthesetimes.com/feed,specialist,labor,Biweekly magazine covering labor, politics, and activism,Progressive labor and activism coverage; represents left-wing labor perspective
Inside Higher Ed,https://www.insidehighered.com/rss/feed,specialist,education,Daily publication covering higher education news and policy,Higher education specialist; covers college and university governance and policy
The Chronicle of Higher Education,https://news.google.com/rss/search?q=when:7d+site:chronicle.com&hl=en-US,specialist,education,Weekly publication covering higher education issues,Higher education coverage; represents academic and administrative perspective
Education Week,https://news.google.com/rss/search?q=when:7d+site:edweek.org&hl=en-US,specialist,education,Publication covering K-12 education policy and practice,K-12 education specialist; covers school reform and education policy
Bridge Michigan,https://www.bridgemi.com/rss.xml,community,us,Nonprofit newsroom covering Michigan government and policy,Michigan regional reporting; provides Midwest state accountability journalism
MinnPost,https://www.minnpost.com/feed/,community,us,Nonprofit newsroom covering Minnesota government and politics,Minnesota regional reporting; provides Midwest state coverage and analysis
Iowa Capital Dispatch,https://iowacapitaldispatch.com/feed/,community,us,Nonprofit newsroom covering Iowa state government and policy,Iowa regional reporting; provides Midwest state accountability journalism
Wisconsin Examiner,https://wisconsinexaminer.com/feed/,community,us,Nonprofit newsroom covering Wisconsin state government,Wisconsin regional reporting; provides Midwest state accountability journalism
Ohio Capital Journal,https://ohiocapitaljournal.com/feed/,community,us,Nonprofit newsroom covering Ohio state government and policy,Ohio regional reporting; provides Midwest state accountability journalism
Mountain State Spotlight,https://mountainstatespotlight.org/feed/,community,us,Nonprofit newsroom covering West Virginia and Appalachia,Appalachian region specialist; covers underreported regional stories
100 Days in Appalachia,https://www.100daysinappalachia.com/feed,community,us,Publication covering Appalachian culture, history, and issues,Appalachian culture and community specialist; represents regional perspective
Crosscut,https://crosscut.com/rss.xml,community,us,Nonprofit newsroom covering Pacific Northwest politics and culture,Pacific Northwest regional coverage; represents regional perspective
Oregon Public Broadcasting,https://news.google.com/rss/search?q=when:7d+site:opb.org&hl=en-US,community,us,Public media organization covering Oregon and Pacific Northwest,Oregon and regional public media; represents Pacific Northwest perspective
VTDigger,https://vtdigger.org/feed/,community,us,Nonprofit newsroom covering Vermont state government and issues,Vermont regional reporting; provides New England state accountability journalism
The Maine Monitor,https://news.google.com/rss/search?q=when:7d+site:themainemonitor.org&hl=en-US,community,us,Nonprofit newsroom covering Maine government and policy,Maine regional reporting; provides New England state accountability journalism
American Enterprise Institute,https://news.google.com/rss/search?q=when:7d+site:aei.org&hl=en-US,analysis,us,Conservative think tank conducting policy research and analysis,Conservative think tank expertise; represents right-wing intellectual perspective
Hoover Institution,https://news.google.com/rss/search?q=when:7d+site:hoover.org&hl=en-US,analysis,us,Conservative research institute publishing policy analysis,Conservative policy research; represents conservative institutional perspective
Hudson Institute,https://news.google.com/rss/search?q=when:7d+site:hudson.org&hl=en-US,analysis,us,Conservative think tank covering foreign policy and national security,Conservative national security perspective; covers defense policy
Newsmax,https://www.newsmax.com/rss/Newsfront/1/,national,us,Conservative news outlet with opinion and reporting,Conservative media perspective; reaches right-leaning audience
The Blaze,https://news.google.com/rss/search?q=when:7d+site:theblaze.com&hl=en-US,national,us,Conservative media company producing news and opinion,Conservative media perspective; represents populist conservative viewpoint
Breitbart,https://feeds.feedburner.com/breitbart,national,us,Right-wing news and opinion website,Right-wing media perspective; covers conservative cultural and political issues
Sojourners,https://sojo.net/feed,community,us,Progressive Christian magazine covering faith and social justice,Progressive Christian perspective; represents faith-based social justice advocacy
Muslim Matters,https://muslimmatters.org/feed/,community,us,Muslim American online magazine covering faith and community issues,Muslim American perspective; represents Muslim community voice
The Globe and Mail,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/world/,international,canada,Canadian newspaper covering national and international news,Canadian major newspaper; represents North American perspective outside US
Nikkei Asia,https://asia.nikkei.com/rss,international,asia,Japanese business and news outlet covering Asia-Pacific,Asia business and economic specialist; covers Asian markets and development
The East African,https://news.google.com/rss/search?q=when:7d+site:theeastafrican.co.ke&hl=en-US,international,africa,East African newspaper covering regional news and politics,East African regional coverage; represents regional African perspective
El País English,https://english.elpais.com/rss/elpais/inenglish.xml,international,spain,Spanish newspaper with English edition covering global news,Major Spanish newspaper; represents Western European perspective
Brennan Center,https://news.google.com/rss/search?q=when:7d+site:brennancenter.org&hl=en-US,specialist,governance,Nonpartisan law and policy institute focusing on democracy and voting rights,Democracy and voting rights specialist; represents civil rights perspective
Marshall Fund,https://news.google.com/rss/search?q=when:7d+site:gmfus.org&hl=en-US,specialist,governance,Think tank covering transatlantic relations and international policy,Transatlantic relations specialist; covers US-Europe policy coordination
Center on Budget and Policy Priorities,https://news.google.com/rss/search?q=when:7d+site:cbpp.org&hl=en-US,specialist,economics,Policy institute analyzing tax and budget issues affecting lower-income Americans,Budget and poverty policy specialist; represents progressive economic perspective
Haaretz,https://www.haaretz.com/cmlink/1.628765,international,israel,Israeli newspaper covering Israeli politics and Middle Eastern affairs,Major Israeli newspaper; provides Israeli perspective on Middle East conflict and politics
Dawn,https://www.dawn.com/feeds/home,international,pakistan,Pakistani English-language newspaper covering South Asian news,Major Pakistani newspaper; represents Pakistani perspective on South Asian affairs
The Korea Herald,https://www.koreaherald.com/common/rss_xml.php?ct=102,international,south_korea,South Korean English-language newspaper covering Korean and Asia-Pacific news,Major Korean newspaper; represents South Korean perspective on regional affairs
Bangkok Post,https://www.bangkokpost.com/rss/data/topstories.xml,international,thailand,Thai English-language newspaper covering Southeast Asian news,Major Thai newspaper; represents Southeast Asian perspective
Taipei Times,https://www.taipeitimes.com/xml/index.rss,international,taiwan,Taiwanese English-language newspaper covering Taiwan and Asia-Pacific,Taiwanese perspective; covers cross-strait relations and Pacific issues
Channel News Asia,https://www.channelnewsasia.com/api/v1/rss-outbound-feed?_format=xml,international,singapore,Singaporean news network covering Asia-Pacific region,Major Asian news network; represents Southeast Asian perspective on global events
Daily Maverick,https://www.dailymaverick.co.za/feed/,international,south_africa,South African investigative publication covering African and global affairs,Leading South African independent journalism; represents African perspective on democracy and governance
Jamaica Observer,https://www.jamaicaobserver.com/feed/,international,caribbean,Jamaican newspaper covering Caribbean news and politics,Caribbean regional perspective; represents island and developing nation viewpoint
The Japan Times,https://www.japantimes.co.jp/feed/,international,japan,Japanese English-language newspaper covering Japan and Asia-Pacific,Major Japanese English newspaper; represents Japanese perspective on global affairs
Anadolu Agency,https://www.aa.com.tr/en/rss/default?cat=world,international,turkey,Turkish state news agency providing international coverage,Turkish state media perspective; represents Middle Eastern NATO member viewpoint
Global Voices,https://globalvoices.org/feed/,international,global,International citizen media platform amplifying underrepresented voices worldwide,Citizen journalism from 100+ countries; represents grassroots global perspective
The New Humanitarian,https://www.thenewhumanitarian.org/feed,international,global,Independent nonprofit newsroom covering humanitarian crises and conflict,Humanitarian crisis specialist; covers refugee and displacement issues worldwide
Scroll.in,https://scroll.in/feed,international,india,Indian digital news publication covering politics and culture,Independent Indian journalism; represents Indian progressive perspective
Latin America Reports,https://news.google.com/rss/search?q=when:7d+site:latinamericareports.com&hl=en-US,international,latam,Publication covering Latin American politics and economy,Latin American regional coverage; covers Western Hemisphere affairs
Balkan Insight,https://balkaninsight.com/feed/,international,europe,Publication covering Southeast Europe and the Balkans,Balkan regional specialist; covers post-conflict democracy and European integration
Press Gazette,https://pressgazette.co.uk/feed/,international,uk,Publication covering global media industry and press freedom,Media industry specialist; covers global press freedom and journalism trends
The Globe Post,https://theglobepost.com/feed/,international,global,International news outlet covering global affairs from multiple perspectives,Multicultural global news; represents diverse international viewpoints
Caribbean National Weekly,https://news.google.com/rss/search?q=when:7d+site:caribbeannationalweekly.com&hl=en-US,international,caribbean,Caribbean news outlet covering diaspora and island communities,Caribbean diaspora perspective; represents Caribbean American communities
Nevada Independent,https://thenevadaindependent.com/feed,community,us,Nonprofit newsroom covering Nevada state government and policy,Nevada regional reporting; covers gaming state politics and Western issues
Colorado Sun,https://coloradosun.com/feed/,community,us,Nonprofit newsroom covering Colorado government and communities,Colorado regional reporting; covers Western state issues
The Lens,https://thelensnola.org/feed/,community,us,Nonprofit newsroom covering New Orleans and Louisiana,Gulf Coast regional coverage; represents post-Katrina recovery and Southern justice
Source NM,https://sourcenm.com/feed/,community,us,Nonprofit newsroom covering New Mexico state government,New Mexico regional reporting; covers Southwest and border state issues
Montana Free Press,https://montanafreepress.org/feed/,community,us,Nonprofit newsroom covering Montana state government and public lands,Montana regional reporting; covers rural Western issues and public lands
Idaho Capital Sun,https://idahocapitalsun.com/feed/,community,us,Nonprofit newsroom covering Idaho state government and policy,Idaho regional reporting; covers Western state governance
Kansas Reflector,https://kansasreflector.com/feed/,community,us,Nonprofit newsroom covering Kansas state government and policy,Kansas regional reporting; covers Great Plains state issues
Arizona Mirror,https://azmirror.com/feed/,community,us,Nonprofit newsroom covering Arizona state government and policy,Arizona regional reporting; covers Southwest border state issues
NC Health News,https://www.northcarolinahealthnews.org/feed/,community,us,Nonprofit newsroom covering North Carolina health policy,North Carolina health coverage; covers Southern state health access issues
Alaska Public Media,https://alaskapublic.org/feed/,community,us,Public media organization covering Alaska and Arctic issues,Alaska and Arctic coverage; represents remote and Indigenous Alaska perspective
